BT47,54.9803,-7.23125
BT48,55.0091,-7.32747
BT49,55.0472,-6.95186
BT51,55.0609,-6.68257
BT52,55.1335,-6.65596
BT53,55.0849,-6.47762
BT54,55.2049,-6.25633
BT55,55.1795,-6.7096
BT56,55.1974,-6.65054
BT57,55.2035,-6.51916
BT60,54.2928,-6.64768
BT61,54.3668,-6.62629
BT62,54.4129,-6.46474
BT63,54.4084,-6.39204
BT64,54.4492,-6.38879
BT65,54.4449,-6.36615
BT66,54.4553,-6.33323
BT67,54.4866,-6.26936
BT68,54.3642,-6.84798
BT69,54.4201,-6.94989
BT70,54.5146,-6.88074
BT71,54.5125,-6.70584
BT74,54.3447,-7.66313
BT75,54.3736,-7.31556
BT76,54.4204,-7.1925
BT77,54.4292,-7.12037
BT78,54.5724,-7.37177
BT79,54.6222,-7.20477
BT80,54.6458,-6.74334
BT81,54.6961,-7.61193
BT82,54.8263,-7.43172
BT92,54.224,-7.46633
BT93,54.4677,-7.82621
BT94,54.3765,-7.53657
BT99,54.6027,-5.92249
CA1,54.8872,-2.91872
CA2,54.8847,-2.95071
CA3,54.9062,-2.93997
CA4,54.8569,-2.82137
CA5,54.8213,-3.20932
CA6,54.9868,-2.86927
CA7,54.8085,-3.23519
CA8,54.9396,-2.68889
CA9,54.8014,-2.41742
CA10,54.6154,-2.66315
CA11,54.6649,-2.7816
CA12,54.6024,-3.13452
CA13,54.6606,-3.36771
CA14,54.6352,-3.53965
CA15,54.7118,-3.48206
CA16,54.5739,-2.485
CA17,54.4795,-2.35046
CA18,54.3546,-3.39043
CA19,54.3872,-3.3868
CA20,54.41,-3.46296
CA21,54.4453,-3.51653
CA22,54.4802,-3.53222
CA23,54.5138,-3.49509
CA24,54.5147,-3.54326
CA25,54.5221,-3.51967
CA26,54.5444,-3.48547
CA27,54.4909,-3.59307
CA28,54.5434,-3.57974
CA95,54.6448,-3.56641
CA99,54.8908,-2.94383
CB1,52.1847,0.166881
CB2,52.1719,0.129514
CB3,52.2144,0.035324
CB4,52.2437,0.117694
CB5,52.2339,0.200534
CB6,52.4047,0.225821
CB7,52.3666,0.315833
CB8,52.2336,0.421369
CB9,52.0833,0.43958
CB10,52.0289,0.257009
CB11,52.0014,0.213993
CB21,52.1307,0.278994
CB22,52.1338,0.136476
CB23,52.2168,-0.0244811
CB24,52.2763,0.0825049
CB25,52.2577,0.246209
CF1,51.4764,-3.18195
CF2,51.4979,-3.16239
CF3,51.5182,-3.11864
CF4,51.5221,-3.21916
CF5,51.4832,-3.24199
CF6,51.4174,-3.26764
CF7,51.5072,-3.41851
CF8,51.6297,-3.23571
CF10,51.4737,-3.17727
CF11,51.4708,-3.19289
CF14,51.5204,-3.20188
CF15,51.5334,-3.27071
CF23,51.5132,-3.14437
CF24,51.4848,-3.16636
CF30,51.5196,-3.11957
CF31,51.5077,-3.5754
CF32,51.5575,-3.583
CF33,51.5244,-3.68719
CF34,51.6107,-3.65263
CF35,51.5213,-3.52802
CF36,51.4839,-3.69984
CF37,51.6013,-3.33445
CF38,51.5609,-3.33351
CF39,51.6013,-3.4269
CF40,51.6205,-3.45294
CF41,51.6478,-3.48274
CF42,51.6667,-3.52216
CF43,51.6571,-3.45063
CF44,51.717,-3.45665
CF45,51.67,-3.36274
CF46,51.6639,-3.30143
CF47,51.7505,-3.37545
CF48,51.7427,-3.37067
CF61,51.4095,-3.48093
CF62,51.4042,-3.30934
CF63,51.4103,-3.26065
CF64,51.4342,-3.18835
CF71,51.4567,-3.46547
CF72,51.53,-3.4016
CF81,51.6997,-3.24375
CF82,51.649,-3.23708
CF83,51.5855,-3.2207
CF91,51.4656,-3.19393
CF95,51.4812,-3.17105
CF99,51.4641,-3.16183
CH1,53.1995,-2.9002
CH2,53.2159,-2.87061
CH3,53.1677,-2.82543
CH4,53.1693,-2.93788
CH5,53.2052,-3.03806
CH6,53.249,-3.14404
CH7,53.1695,-3.13411
CH8,53.2823,-3.24162
CH25,53.397,-3.01177
CH26,53.3657,-3.06591
CH27,53.4212,-3.04231
CH28,53.4005,-3.11194
CH29,53.3903,-3.17941
CH30,53.379,-3.09844
CH31,53.3297,-3.09886
CH32,53.362,-2.99763
CH33,53.2906,-3.06264
CH34,53.2831,-2.90934
CH41,53.3948,-3.03093
CH42,53.3751,-3.02184
CH43,53.3829,-3.06015
CH44,53.4156,-3.03724
CH45,53.4283,-3.05075
CH46,53.404,-3.11095
CH47,53.3959,-3.1702
CH48,53.3726,-3.17091
CH49,53.3809,-3.10329
CH60,53.327,-3.09644
CH61,53.3475,-3.10175
CH62,53.3359,-2.98221
CH63,53.3458,-3.01144
CH64,53.2884,-3.04909
CH65,53.2784,-2.9025
CH66,53.2782,-2.93661
CH70,53.1927,-2.92254
CH88,53.178,-2.89583
CH99,53.1872,-2.88946
CM0,51.6588,0.83112
CM1,51.746,0.467205
CM2,51.7237,0.485004
CM3,51.716,0.586877
CM4,51.6748,0.387934
CM5,51.7184,0.247778
CM6,51.8782,0.375658
CM7,51.8862,0.547931
CM8,51.8056,0.638429
CM9,51.7392,0.694851
CM11,51.6238,0.443196
CM12,51.6267,0.414946
CM13,51.6152,0.334608
CM14,51.619,0.295878
CM15,51.6414,0.304053
CM16,51.7004,0.118642
CM17,51.7733,0.141008
CM18,51.7567,0.104721
CM19,51.7614,0.0743065
CM20,51.7744,0.0999958
CM21,51.8121,0.147996
CM22,51.8664,0.218179
CM23,51.8711,0.158667
CM24,51.8978,0.206599
CM77,51.8669,0.553661
CM92,51.7694,0.06128
CM98,51.7521,0.518473
CM99,51.7399,0.493573
CO1,51.8759,0.878598
CO2,51.871,0.895177
CO3,51.8854,0.857844
CO4,51.9071,0.920199
CO5,51.8142,0.820806
CO6,51.9324,0.792677
CO7,51.8808,1.00352
CO8,51.9734,0.767062
CO9,51.9673,0.611519
CO10,52.0541,0.726849
CO11,51.9424,1.07509
CO12,51.9322,1.25555
CO13,51.8384,1.23755
CO14,51.8503,1.26754
CO15,51.797,1.15542
CO16,51.8201,1.12656
CR0,51.3733,-0.0787672
CR2,51.346,-0.0957291
CR3,51.2975,-0.0963363
CR4,51.4026,-0.145409
CR5,51.3135,-0.141307
CR6,51.3028,-0.0578281
CR7,51.3923,-0.103828
CR8,51.3366,-0.111228
CR9,51.3748,-0.0950319
CR44,51.3823,-0.132871
CR90,51.3776,-0.108892
CT1,51.2789,1.08673
CT2,51.2925,1.08235
CT3,51.2766,1.20641
CT4,51.2277,1.06797
CT5,51.3542,1.03472
CT6,51.364,1.1285
CT7,51.3713,1.30173
CT8,51.3805,1.34029
CT9,51.3835,1.38801
CT10,51.3629,1.42908
CT11,51.3365,1.41238
CT12,51.3434,1.3695
CT13,51.2686,1.33049
CT14,51.2175,1.38711
CT15,51.1713,1.28384
CT16,51.1397,1.30149
CT17,51.1287,1.29542
CT18,51.1128,1.15001
CT19,51.0884,1.16835
CT20,51.0796,1.16497
CT21,51.0727,1.07737
CT50,51.0792,1.14406
CV1,52.4089,-1.50731
CV2,52.4234,-1.46766
CV3,52.3934,-1.48164
CV4,52.3992,-1.55689
CV5,52.4121,-1.54874
CV6,52.4313,-1.5066
CV7,52.4429,-1.55786
CV8,52.3512,-1.54769
CV9,52.5849,-1.55922
